"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.998096480E2,4.820072691E1,1.161904264E1,4.978831863E2,1.682962227E1,1.982275543E2,1.090725587E1,8.001208274E0,8.001208274E0,0.000000000E0
6.008096489E2,4.820059633E1,1.161896861E1,4.980034489E2,1.646000481E1,1.982755280E2,1.092136336E1,8.001208274E0,8.001208274E0,0.000000000E0
6.018096497E2,4.820047384E1,1.161891902E1,4.981980679E2,1.580982780E1,1.982755280E2,1.093542192E1,8.001208274E0,8.001208274E0,0.000000000E0
6.028096497E2,4.820036004E1,1.161883638E1,4.983460149E2,1.510425091E1,1.982755280E2,1.095009004E1,8.001208274E0,8.001208274E0,0.000000000E0
6.038096509E2,4.820023488E1,1.161877387E1,4.983759158E2,1.510425091E1,1.982755280E2,1.096505177E1,8.001208274E0,8.001208274E0,0.000000000E0
6.048096508E2,4.820010729E1,1.161870976E1,4.982826107E2,1.478400421E1,1.982755280E2,1.097941578E1,6.000906205E0,6.000906205E0,0.000000000E0
6.058096527E2,4.819998784E1,1.161863598E1,4.980928847E2,1.406978512E1,1.981565094E2,1.099364125E1,6.000906205E0,6.000906205E0,0.000000000E0
6.068096523E2,4.819986911E1,1.161856448E1,4.979129624E2,1.335131264E1,1.981565094E2,1.100704084E1,6.000906205E0,6.000906205E0,0.000000000E0
6.078096539E2,4.819975664E1,1.161849957E1,4.978238337E2,1.335131264E1,1.981565094E2,1.101941124E1,6.000906205E0,6.000906205E0,0.000000000E0
6.088096546E2,4.819965575E1,1.161842925E1,4.978613381E2,1.292298508E1,1.986290283E2,1.102911875E1,6.000906205E0,6.000906205E0,0.000000000E0
6.098096552E2,4.819958048E1,1.161836291E1,4.979677008E2,1.240466976E1,1.986290283E2,1.103964962E1,6.000906205E0,6.000906205E0,0.000000000E0
6.108096554E2,4.819948791E1,1.161833289E1,4.980103073E2,1.003846645E1,1.986290283E2,1.104946644E1,6.000906205E0,6.000906205E0,0.000000000E0
6.118096558E2,4.819940039E1,1.161831542E1,4.979267872E2,1.003846645E1,1.986290283E2,1.105799520E1,6.000906205E0,6.000906205E0,0.000000000E0
